yourlist:M20190428216DA2B77BFBD2E6699CA9B6D1C41EB20A1B1A1	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O00203	O00203	AP3B1_HUMAN	reviewed	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
O00232	O00232	PSD12_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	Homo sapiens (Human)	456
O00258	O00258	WRB_HUMAN	reviewed	Tail-anchored protein insertion receptor WRB (Congenital heart disease 5 protein) (Tryptophan-rich basic protein) (WRB)	WRB CHD5	Homo sapiens (Human)	174
O00268	O00268	TAF4_HUMAN	reviewed	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	1085
O00299	O00299	CLIC1_HUMAN	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)	241
O00303	O00303	EIF3F_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357
O00339	O00339	MATN2_HUMAN	reviewed	Matrilin-2	MATN2 UNQ193/PRO219	Homo sapiens (Human)	956
O00391	O00391	QSOX1_HUMAN	reviewed	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013	Homo sapiens (Human)	747
O00410	O00410	IPO5_HUMAN	reviewed	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097
O00422	O00422	SAP18_HUMAN	reviewed	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
O00425	O00425	IF2B3_HUMAN	reviewed	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	IGF2BP3 IMP3 KOC1 VICKZ3	Homo sapiens (Human)	579
O00468	O00468	AGRIN_HUMAN	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068
O00487	O00487	PSDE_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310
O00541	O00541	PESC_HUMAN	reviewed	Pescadillo homolog	PES1	Homo sapiens (Human)	588
O00560	O00560	SDCB1_HUMAN	reviewed	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	Homo sapiens (Human)	298
O00566	O00566	MPP10_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681
O00567	O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
O00571	O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662
O00602	O00602	FCN1_HUMAN	reviewed	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326
O00763	O00763	ACACB_HUMAN	reviewed	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACACB ACC2 ACCB	Homo sapiens (Human)	2458
O14493	O14493	CLD4_HUMAN	reviewed	Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE-R) (CPE-receptor) (Williams-Beuren syndrome chromosomal region 8 protein)	CLDN4 CPER CPETR1 WBSCR8	Homo sapiens (Human)	209
O14558	O14558	HSPB6_HUMAN	reviewed	Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20)	HSPB6	Homo sapiens (Human)	160
O14561	O14561	ACPM_HUMAN	reviewed	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	NDUFAB1	Homo sapiens (Human)	156
O14579	O14579	COPE_HUMAN	reviewed	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	COPE	Homo sapiens (Human)	308
O14617	O14617	AP3D1_HUMAN	reviewed	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	AP3D1 PRO0039	Homo sapiens (Human)	1153
Q5TA81	Q5TA81	LCE2C_HUMAN	reviewed	Late cornified envelope protein 2C (Late envelope protein 11)	LCE2C LEP11	Homo sapiens (Human)	110
O14639	O14639	ABLM1_HUMAN	reviewed	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	ABLIM1 ABLIM KIAA0059 LIMAB1	Homo sapiens (Human)	778
O14678	O14678	ABCD4_HUMAN	reviewed	ATP-binding cassette sub-family D member 4 (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69)	ABCD4 PXMP1L	Homo sapiens (Human)	606
O14744	O14744	ANM5_HUMAN	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	Homo sapiens (Human)	637
O14773	O14773	TPP1_HUMAN	reviewed	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563
O14818	O14818	PSA7_HUMAN	reviewed	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	PSMA7 HSPC	Homo sapiens (Human)	248
O14830	O14830	PPE2_HUMAN	reviewed	Serine/threonine-protein phosphatase with EF-hands 2 (PPEF-2) (EC 3.1.3.16)	PPEF2	Homo sapiens (Human)	753
O14841	O14841	OPLA_HUMAN	reviewed	5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)	OPLAH	Homo sapiens (Human)	1288
O14880	O14880	MGST3_HUMAN	reviewed	Microsomal glutathione S-transferase 3 (Microsomal GST-3) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20) (Microsomal glutathione S-transferase III) (Microsomal GST-III)	MGST3	Homo sapiens (Human)	152
P19105	P19105	ML12A_HUMAN	reviewed	Myosin regulatory light chain 12A (Epididymis secretory protein Li 24) (HEL-S-24) (MLC-2B) (Myosin RLC) (Myosin regulatory light chain 2, nonsarcomeric) (Myosin regulatory light chain MRLC3)	MYL12A MLCB MRLC3 RLC	Homo sapiens (Human)	171
O14975	O14975	S27A2_HUMAN	reviewed	Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 2) (THCA-CoA ligase) (Very long-chain-fatty-acid-CoA ligase)	SLC27A2 ACSVL1 FACVL1 FATP2 VLACS	Homo sapiens (Human)	620
O14979	O14979	HNRDL_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	HNRNPDL HNRPDL JKTBP	Homo sapiens (Human)	420
O14986	O14986	PI51B_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta (PIP5K1-beta) (PtdIns(4)P-5-kinase 1 beta) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PIP5KIbeta) (Protein STM-7) (Type I phosphatidylinositol 4-phosphate 5-kinase beta)	PIP5K1B STM7	Homo sapiens (Human)	540
O15020	O15020	SPTN2_HUMAN	reviewed	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)	SPTBN2 KIAA0302 SCA5	Homo sapiens (Human)	2390
O15021	O15021	MAST4_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1)	MAST4 KIAA0303	Homo sapiens (Human)	2623
O15027	O15027	SC16A_HUMAN	reviewed	Protein transport protein Sec16A (SEC16 homolog A) (p250)	SEC16A KIAA0310 SEC16 SEC16L	Homo sapiens (Human)	2357
O15042	O15042	SR140_HUMAN	reviewed	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	U2SURP KIAA0332 SR140	Homo sapiens (Human)	1029
O15061	O15061	SYNEM_HUMAN	reviewed	Synemin (Desmuslin)	SYNM DMN KIAA0353 SYN	Homo sapiens (Human)	1565
O15083	O15083	ERC2_HUMAN	reviewed	ERC protein 2	ERC2 KIAA0378	Homo sapiens (Human)	957
O15085	O15085	ARHGB_HUMAN	reviewed	Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF)	ARHGEF11 KIAA0380	Homo sapiens (Human)	1522
O15117	O15117	FYB1_HUMAN	reviewed	FYN-binding protein 1 (Adhesion and degranulation promoting adaptor protein) (ADAP) (FYB-120/130) (p120/p130) (FYN-T-binding protein) (SLAP-130) (SLP-76-associated phosphoprotein)	FYB1 FYB SLAP130	Homo sapiens (Human)	783
O15143	O15143	ARC1B_HUMAN	reviewed	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B ARC41	Homo sapiens (Human)	372
O15144	O15144	ARPC2_HUMAN	reviewed	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	ARPC2 ARC34 PRO2446	Homo sapiens (Human)	300
O15145	O15145	ARPC3_HUMAN	reviewed	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	ARPC3 ARC21	Homo sapiens (Human)	178
O15173	O15173	PGRC2_HUMAN	reviewed	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	PGRMC2 DG6 PMBP	Homo sapiens (Human)	223
O15204	O15204	ADEC1_HUMAN	reviewed	ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1)	ADAMDEC1	Homo sapiens (Human)	470
O15213	O15213	WDR46_HUMAN	reviewed	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	WDR46 BING4 C6orf11 FP221	Homo sapiens (Human)	610
O15230	O15230	LAMA5_HUMAN	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	LAMA5 KIAA0533 KIAA1907	Homo sapiens (Human)	3695
O15231	O15231	ZN185_HUMAN	reviewed	Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)	ZNF185	Homo sapiens (Human)	689
O15260	O15260	SURF4_HUMAN	reviewed	Surfeit locus protein 4	SURF4 SURF-4	Homo sapiens (Human)	269
O15270	O15270	SPTC2_HUMAN	reviewed	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	SPTLC2 KIAA0526 LCB2	Homo sapiens (Human)	562
O15320	Q96PC5	MIA2_HUMAN	reviewed	Melanoma inhibitory activity protein 2 (CTAGE family member 5 ER export factor) (Meningioma-expressed antigen 6/11)	MIA2 CTAGE5 MEA11 MEA6 MGEA11 MGEA6	Homo sapiens (Human)	1412
O15371	O15371	EIF3D_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	EIF3D EIF3S7	Homo sapiens (Human)	548
O15372	O15372	EIF3H_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	EIF3H EIF3S3	Homo sapiens (Human)	352
O43143	O43143	DHX15_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
O43175	O43175	SERA_HUMAN	reviewed	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	PHGDH PGDH3	Homo sapiens (Human)	533
O43242	O43242	PSMD3_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	Homo sapiens (Human)	534
O43294	O43294	TGFI1_HUMAN	reviewed	Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)	TGFB1I1 ARA55	Homo sapiens (Human)	461
O43295	O43295	SRGP3_HUMAN	reviewed	SLIT-ROBO Rho GTPase-activating protein 3 (srGAP3) (Mental disorder-associated GAP) (Rho GTPase-activating protein 14) (WAVE-associated Rac GTPase-activating protein) (WRP)	SRGAP3 ARHGAP14 KIAA0411 KIAA1156 MEGAP SRGAP2	Homo sapiens (Human)	1099
O43301	O43301	HS12A_HUMAN	reviewed	Heat shock 70 kDa protein 12A	HSPA12A KIAA0417	Homo sapiens (Human)	675
O43390	O43390	HNRPR_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
O43424	O43424	GRID2_HUMAN	reviewed	Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)	GRID2 GLURD2	Homo sapiens (Human)	1007
O43491	O43491	E41L2_HUMAN	reviewed	Band 4.1-like protein 2 (Generally expressed protein 4.1) (4.1G)	EPB41L2	Homo sapiens (Human)	1005
O43670	O43670	ZN207_HUMAN	reviewed	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	ZNF207 BUGZ	Homo sapiens (Human)	478
O43684	O43684	BUB3_HUMAN	reviewed	Mitotic checkpoint protein BUB3	BUB3	Homo sapiens (Human)	328
O43707	O43707	ACTN4_HUMAN	reviewed	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	911
O43772	O43772	MCAT_HUMAN	reviewed	Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (Solute carrier family 25 member 20)	SLC25A20 CAC CACT	Homo sapiens (Human)	301
O43776	O43776	SYNC_HUMAN	reviewed	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	NARS	Homo sapiens (Human)	548
O43795	O43795	MYO1B_HUMAN	reviewed	Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)	MYO1B	Homo sapiens (Human)	1136
O43809	O43809	CPSF5_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit)	NUDT21 CFIM25 CPSF25 CPSF5	Homo sapiens (Human)	227
O43823	O43823	AKAP8_HUMAN	reviewed	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	Homo sapiens (Human)	692
O43866	O43866	CD5L_HUMAN	reviewed	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	CD5L API6 UNQ203/PRO229	Homo sapiens (Human)	347
O60216	O60216	RAD21_HUMAN	reviewed	Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)]	RAD21 HR21 KIAA0078 NXP1 SCC1	Homo sapiens (Human)	631
O60264	O60264	SMCA5_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052
O60282	O60282	KIF5C_HUMAN	reviewed	Kinesin heavy chain isoform 5C (Kinesin heavy chain neuron-specific 2)	KIF5C KIAA0531 NKHC2	Homo sapiens (Human)	957
